epoch,loss,rmse
1,0.8165565983994884,0.72732013463974
2,0.7188845178672049,0.7273280620574951
3,0.7191548380041766,0.7273213267326355
4,0.7191121517195257,0.7273363471031189
5,0.7190421318642224,0.727339506149292
6,0.7189614910058653,0.7273229360580444
7,0.7190132242073614,0.7273266315460205
8,0.7189994883495175,0.727317214012146
9,0.7189530450219573,0.7273303866386414
10,0.7190698814972151,0.7273194789886475
11,0.7190246715105535,0.7273242473602295
12,0.719047601667227,0.7273274660110474
13,0.7191113840500846,0.727353036403656
14,0.7191939684032188,0.7273179292678833
15,0.719032609282785,0.7273256778717041
16,0.7189919318072349,0.7273450493812561
17,0.7191055544368027,0.7273252010345459
18,0.7190905889280539,0.7273537516593933
19,0.7189311939156302,0.7273448705673218
20,0.7188918460893348,0.7273336052894592
