epoch,loss,rmse
1,0.8349965037312882,0.7283165454864502
2,0.7200718046991136,0.7282953858375549
3,0.7201221670703557,0.7282909154891968
4,0.719937749301543,0.7283352613449097
5,0.7199577576867723,0.7283111214637756
6,0.7200928509800129,0.7282898426055908
7,0.7201270422962096,0.7282907962799072
8,0.7201455967330006,0.7283168435096741
9,0.7202591110533575,0.7283122539520264
10,0.7200227465922672,0.7283058166503906
11,0.7200303995458046,0.7283069491386414
12,0.7201136626184743,0.7282929420471191
13,0.7200869215191397,0.7282905578613281
14,0.7199900822705895,0.7283093333244324
15,0.7200479014370287,0.7282930016517639
16,0.7201342700246404,0.7283249497413635
17,0.72021391688198,0.7283013463020325
18,0.7202565167269738,0.7283055186271667
19,0.7201424663117978,0.728308916091919
20,0.7200081019622089,0.7283142805099487
